          word      pv  ratio             period   sim
0          张晚意   24408     95  20200719|20210404  3863
1         觉醒时代   44400     90  20200719|20210404  2900
2           张桐   45108    108  20200719|20210404  2466
3      觉醒年代演员表   57118     74  20200719|20210404  2246
4          周显欣   17370     79  20200719|20210404  2177
5          王鹏凯    5974     87  20200719|20210404  1975
6   觉醒年代免费观看全集   97128     74  20200719|20210404  1769
7         朱刚日尧   13350     79  20200719|20210404  1752
8           曹磊   21596     94  20200719|20210404  1752
9          马少骅   18100     83  20200719|20210404  1523
10         陈独秀  712710     81  20200719|20210404  1352
11         于和伟  143418    105  20200719|20210404  1351
12          觉醒   25344     95  20200719|20210404  1350
13         夏德俊    5010     93  20200719|20210404  1294
14         张思乐   13808    101  20200719|20210404  1215
15         侯京健   13938     97  20200719|20210404  1178
16         陈延年  221970     89  20200719|20210404   970
17    我们的法兰西岁月   13618    100  20200719|20210404   899
18  觉醒年代为什么不播了     988     50  20200719|20210404   847
19          杨杏    4634     91  20200719|20210404   794
20         张丰载   49154     96  20200719|20210404   793
21         武笑羽    5612     80  20200719|20210404   728
22         张永新    3804     69  20200719|20210404   692
23         毕彦君    7864     85  20200719|20210404   651
24          高爽    1916     90  20200719|20210404   647
25         李大钊  719596    112  20200719|20210404   636
26          胡适  279538     77  20200719|20210404   582
27         蔡元培  184952     79  20200719|20210404   569
28         张光北   27528     91  20200719|20210404   543
29         觉醒者    2614    112  20200719|20210404   541
