             word       pv  ratio             period   sim
0        觉醒年代停播原因    47184    113  20200719|20210711  2757
1      觉醒年代免费观看全集   815146    115  20200719|20210711  2564
2         觉醒年代电视剧    29442     99  20200719|20210711  2138
3              张桐   126448     76  20200719|20210711  1672
4       觉醒年代为什么禁播    55128    185  20200719|20210711  1592
5             张晚意   215318     89  20200719|20210711  1591
6              觉醒    53278     92  20200719|20210711  1564
7            觉醒时代   104696     68  20200719|20210711  1491
8             马启越   117058    114  20200719|20210711  1349
9         觉醒年代观后感    88912     96  20200719|20210711  1291
10       觉醒年代在线观看    28800     82  20200719|20210711  1278
11  觉醒年代在哪个APP可以看    19952     79  20200719|20210711  1149
12            周显欣    48188     99  20200719|20210711  1131
13        觉醒年代演员表   189626     83  20200719|20210711  1119
14      觉醒年代在哪个台播    27654    114  20200719|20210711  1071
15             曹磊    56072    103  20200719|20210711  1028
16     《觉醒年代》在线观看    13390     92  20200719|20210711  1020
17            于和伟   350882     82  20200719|20210711   995
18            马少骅    49300     97  20200719|20210711   991
19           朱刚日尧    35824    104  20200719|20210711   989
20            陈独秀  2796444     56  20200719|20210711   987
21            侯京健    50598     86  20200719|20210711   867
22       觉醒年代剧情介绍    51980     98  20200719|20210711   827
23            夏德俊    18958     98  20200719|20210711   804
24            陈延年   831636     61  20200719|20210711   772
25            张丰载   282698     91  20200719|20210711   692
26            李大钊  1634280     55  20200719|20210711   683
27          光荣与梦想    81648     62  20200719|20210711   677
28         理想照耀中国   254876     71  20200719|20210711   653
