             word       pv  ratio             period   sim
0      《觉醒年代》在线观看    70828    340  20200719|20210613  4058
1      觉醒年代免费观看全集   646256    249  20200719|20210613  3724
2         觉醒年代电视剧    47468    265  20200719|20210613  2324
3        觉醒年代在线观看    59222    275  20200719|20210613  2137
4              觉醒    76984    178  20200719|20210613  1879
5            觉醒时代   244856    253  20200719|20210613  1850
6   觉醒年代在哪个APP可以看    60688    179  20200719|20210613  1823
7             张晚意   220636    157  20200719|20210613  1487
8              张桐   116600    179  20200719|20210613  1472
9             陈独秀  2551398    150  20200719|20210613  1378
10        觉醒年代观后感   106830    161  20200719|20210613  1368
11            马启越    80808    165  20200719|20210613  1357
12            王鹏凯    33598    190  20200719|20210613  1349
13        觉醒年代演员表   151428    190  20200719|20210613  1117
14            山海情   294950    363  20200719|20210613  1032
15            于和伟   505440    194  20200719|20210613  1006
16         理想照耀中国   384542     98  20200719|20210613   980
17      觉醒年代在哪个台播    35840    289  20200719|20210613   912
18            周显欣    36304    195  20200719|20210613   904
19            陈延年   826460    154  20200719|20210613   890
20             曹磊    51436    152  20200719|20210613   881
21            马少骅    46976    158  20200719|20210613   865
22            李大钊  1450838    156  20200719|20210613   831
23          光荣与梦想   358196     93  20200719|20210613   763
24       觉醒年代剧情介绍    46702    259  20200719|20210613   732
25           朱刚日尧    25832    156  20200719|20210613   692
26            夏德俊    16198    195  20200719|20210613   683
27       觉醒年代作文素材    35820   1338  20200719|20210613   659
28            张丰载   276204    162  20200719|20210613   630
29     《觉醒年代》在线观看    70828    340  20200719|20210613   189
30           觉醒年代  5014562    228  20200719|20210613    42
