          word      pv  ratio             period   sim
0   觉醒年代为什么不播了   77326    349  20200719|20210228  7461
1      觉醒年代演员表   23376     45  20200719|20210228  3563
2           张桐   17464     85  20200719|20210228  1807
3   觉醒年代免费观看全集   51716     69  20200719|20210228  1801
4          王鹏凯    5222    111  20200719|20210228  1637
5          周显欣    9634    125  20200719|20210228  1559
6         朱刚日尧    6350     78  20200719|20210228  1255
7          侯京健    8602    127  20200719|20210228  1173
8           觉醒   24400     91  20200719|20210228  1143
9          陈独秀  323706     72  20200719|20210228  1141
10          曹磊    6968     73  20200719|20210228  1000
11         马少骅   18484    136  20200719|20210228   971
12         李大钊  198568     64  20200719|20210228   734
13         张思乐    9298     59  20200719|20210228   662
14         于和伟  148606     77  20200719|20210228   617
15         张丰载   20176     61  20200719|20210228   616
16         辜鸿铭   85796     51  20200719|20210228   588
17         陈延年   87860     61  20200719|20210228   584
18         张永新    1924     74  20200719|20210228   556
19         张晚意   23702     98  20200719|20210228   540
20         蔡元培  101906     67  20200719|20210228   537
21    我们的法兰西岁月    3966    101  20200719|20210228   530
22          胡适  177202     55  20200719|20210228   484
23         夏德俊    1928     72  20200719|20210228   451
24         易白沙   16982     75  20200719|20210228   363
25    CCTV1节目表  118840     86  20200719|20210228   337
26     中央一台节目表   80816     75  20200719|20210228   317
27          杨杏    1240     90  20200719|20210228   315
28          年代    4182    110  20200719|20210228   313
29     央视一套节目表   34290     67  20200719|20210228   313
