region,title,view_num,danmu,upload_time,up_author,video_url
影视杂谈,木鱼水心X《觉醒年代》主创：终于等到你！独家披露创作细节,206.4万,3.4万,2021-06-10,木鱼水心,www.bilibili.com/video/BV1qV41147tu?from=search
影视剪辑,【觉醒年代｜欢乐向】-仲甫先生一家的欢（hu）乐（dui）日常,28.8万,582,2021-06-18,浮尘微刃,www.bilibili.com/video/BV1th411a7sd?from=search
影视剪辑,《觉醒年代》|“咱们认识一下吧”,5.7万,107,2021-06-30,快看是皮卡丘,www.bilibili.com/video/BV1164y1Q7HV?from=search
影视剪辑,【觉醒年代 |世炎】可惜在学生时代再也没有出现过这样一位学长！！,18.6万,240,2021-05-26,崔金李,www.bilibili.com/video/BV1bK4y1R7Zm?from=search
影视剪辑,【觉醒年代】北大暴躁三人组,88.0万,425,2021-05-24,影与抛光者,www.bilibili.com/video/BV1vU4y1L7Gr?from=search
影视剪辑,【觉醒年代 | 陈独秀个人向 | 于和伟】“他最后也倒在了黎明前”,17.6万,441,2021-06-14,Pricetone,www.bilibili.com/video/BV1fy4y1u7ew?from=search
影视剪辑,【觉醒年代】后来啊，安徽合肥有了一条延乔路，延乔路的尽头叫繁华大道。,157.6万,2410,2021-03-31,深眸眼绿484,www.bilibili.com/video/BV1af4y1W7UV?from=search
影视剪辑,【觉醒年代】建议每日一遍防止抑郁｜《我是演员》北大分会场｜绝A赵世炎在线凶延年｜未成年乔年弟弟展现懵懂演技｜史上最怂预言家张丰载｜江湖海威凶狠孟雄,57.2万,1228,2021-04-13,一颗鲤,www.bilibili.com/video/BV1gK4y1o7hT?from=search
影视剪辑,《觉醒年代》欢乐向 名场面：暴躁钱爷——给爷坐[季刚又双叒叕生气了][保护伞][弱小无助刘申叔],19.7万,97,2021-06-15,过年了都在家忙着,www.bilibili.com/video/BV1wb4y1o7b5?from=search
影视剪辑,【觉醒年代】“要为真理而斗争”,54.5万,836,2021-03-21,清眸含鹿,www.bilibili.com/video/BV1ey4y14785?from=search
影视剪辑,【觉醒年代x小欢喜|青年群像】“少年的肩上不仅有清风朗月”,148.7万,2503,2021-06-23,脆桃胡诌,www.bilibili.com/video/BV1cv411H7AM?from=search
影视剪辑,【觉醒年代/鲁迅/钱玄同】最佳损友,23.6万,135,2021-06-20,禹羽渔,www.bilibili.com/video/BV1Nb4y1o76Z?from=search
校园学习,把《觉醒年代》里超燃台词，写进作文很加分,34.0万,38,2021-06-14,严冬硬笔手写,www.bilibili.com/video/BV1Qh411a7yN?from=search
影视剪辑,【觉醒年代丨欢乐向】今日份快乐请查收,7.5万,211,2021-06-18,二创君,www.bilibili.com/video/BV1C54y1G7wr?from=search
鬼畜调教,【觉醒年代】误入夸夸群的豫才先生,57.6万,386,2021-05-16,欧文丽贝卡,www.bilibili.com/video/BV1v64y1C749?from=search
预告 资讯,【青春】《觉醒年代》的新青年们组团演唱李大钊《青春》,21.9万,542,2021-06-26,光线电影官方,www.bilibili.com/video/BV1u64y197t6?from=search
短片·手书·配音,【描改/手书】觉醒年代的扫除时间,29.9万,889,2021-06-20,LE1997,www.bilibili.com/video/BV1pq4y1L7NU?from=search
影视杂谈,牛年第一炸！来感受100年前中国的热血青年！疯狂安利《觉醒年代》,86.3万,5485,2021-02-12,轩邈Elias,www.bilibili.com/video/BV15N411d75M?from=search
预告 资讯,【1080P】历史大剧《觉醒年代》幕后花絮纪录片,65.2万,2.1万,2021-02-15,别关注我阿,www.bilibili.com/video/BV1fi4y1K7ek?from=search
短片,《觉醒年代》本是比翼双飞鸟，奈何天地有余悲。,15.0万,193,2021-06-04,剪辑的双鱼儿,www.bilibili.com/video/BV11f4y1b7MP?from=search
影视剪辑,【陈延年台词向|觉醒年代】血水里开出的花，凋零在最美好的年纪，定格在盛放的瞬间,97.4万,884,2021-04-03,柚子柚子__,www.bilibili.com/video/BV1gK4y1K74R?from=search
热点,【觉醒年代】 中 华 儿 女 醒 着 呢,28.6万,283,2021-05-13,新青年,www.bilibili.com/video/BV1E5411u7m8?from=search
影视剪辑,【觉醒年代｜高燃群像】“民国的浪漫属于撕破黑暗的革命者”｜请一定要看到第35秒,13.7万,409,2021-06-19,小满日和u,www.bilibili.com/video/BV1eM4y1u7Tx?from=search
综合,【觉醒年代】爆哭完结！这个梗很多人都没发现……,117.6万,1916,2021-04-10,央视频,www.bilibili.com/video/BV18Z4y1c71R?from=search
影视剪辑,【觉醒年代|欢乐向】热爱105度的你,59.8万,598,2021-06-13,luna1re,www.bilibili.com/video/BV1pK4y137Jp?from=search
明星,【觉醒年代｜鲁迅】热爱105°C的你｜一颗小甜豆迅哥儿,15.8万,316,2021-06-17,豆香淑,www.bilibili.com/video/BV1Zb4y1d7xi?from=search
影视剪辑,【陈乔年可爱图鉴|觉醒年代】“同志，你饿吗？”,96.6万,824,2021-05-26,晚巷山,www.bilibili.com/video/BV11o4y117FD?from=search
影视剪辑,【觉醒年代|欢乐向】金曲串烧大赏,13.5万,831,2021-06-06,心凉是薄荷,www.bilibili.com/video/BV1cK4y1376a?from=search
影视剪辑,【觉醒年代】“一 个 个 都 小 嘴 抹 了 蜜”,18.0万,161,2021-06-20,最爱俊俊小天使,www.bilibili.com/video/BV1Qg411g7gW?from=search
影视剪辑,【觉醒年代】延年乔年和弟弟妹妹的相处日常~,10.3万,27,2021-07-06,甜橙er啦啦啦,www.bilibili.com/video/BV1h64y147Qg?from=search
影视剪辑,【觉醒年代｜中国外交】“从弱国无外交到外交天团”,64.4万,1889,2021-05-07,妍菊yj,www.bilibili.com/video/BV1nv411j7wz?from=search
影视剪辑,【觉醒年代青年组】剪着剪着我就哭了 | 陈延年•陈乔年•赵世炎•邓中夏,15.3万,82,2021-05-27,-不恰柠檬-,www.bilibili.com/video/BV1254y1V7fD?from=search
影视剪辑,【觉醒年代】哥，我终于追上你了，我想你了,11.7万,122,2021-07-07,小脆皮和小饼干,www.bilibili.com/video/BV1zf4y1L7oC?from=search
影视剪辑,【觉醒年代｜群像】如果声音不记得｜我有万语千言，藏在颤抖的字里行间,28.3万,425,2021-06-01,山川隐曜,www.bilibili.com/video/BV1GU4y1j7zQ?from=search
热点,《觉醒年代》最“刀”的一段！撒贝宁看完猛男泪目,125.3万,2175,2021-05-30,央视网快看,www.bilibili.com/video/BV1gA41137LN?from=search
影视剪辑,当我看觉醒年代时都在想什么｜华语金曲系列,2.2万,193,2021-07-11,白十五Jr,www.bilibili.com/video/BV1y44y1q7c1?from=search
影视剪辑,【觉醒年代】“我的父亲陈独秀先生，他配得上吃这道菜”,63.2万,25,2021-05-29,Mary不在家,www.bilibili.com/video/BV1tf4y1h75k?from=search
影视杂谈,导演夹带“私货”，音乐编辑气到大哭，觉醒年代其实你并不了解,75.0万,161,2021-07-10,幕春秋,www.bilibili.com/video/BV1LX4y1w7Nk?from=search
影视剪辑,【觉醒年代/群像】一把二胡拉一生 /送君千里 终须一别,102.0万,1647,2021-06-27,十斤鸦,www.bilibili.com/video/BV1xb4y1C7fh?from=search
影视剪辑,【觉醒年代||刘师培】红马/他的清雅逸态，好仙儿~,5.3万,64,2021-06-26,lvseshalou,www.bilibili.com/video/BV1p44y1z7Ak?from=search
影视剪辑,【觉醒年代/搞笑】连伟人都不能拒绝中华美食 还有谁能拒绝呢？,59.9万,888,2021-06-12,陆贰拾伍,www.bilibili.com/video/BV1rw411Z7uG?from=search
影视剪辑,【觉醒年代】“君子永远是君子”,13.3万,211,2021-07-12,北暖真不是姐姐,www.bilibili.com/video/BV1v44y1q7nK?from=search
影视剪辑,全世界最好的哥哥，最乖的弟弟！！！【觉醒年代】【陈延年/陈乔年】【张晚意/马启越】,33.3万,166,2021-06-18,点点好运来,www.bilibili.com/video/BV1864y1r7PT?from=search
