,comments
902,鲁迅的出场看得我心里发麻
903,辣个男人来了！天降猛男！
904,我错了
905,高考作文！
906,金星？
907,60斤大米啊
908,La jeunesse 就是法语年轻人的意思
909,哈哈哈哈哈哈哈哈哈
910,”震“在八卦中对应东方，”旦“是日出之意，”震旦“的本意即（东方日出之地的国度），早期多见于佛经，是古印度人对于中国的称呼
911,好家伙
912,感谢导演和剧组还有演员
913,林  忆  莲
914,杀疯了！
915,迷茫
916,帅哥你谁？
917,长好像诶
918,一语成谶
919,没有办法的事，很难过
920,岂曰无衣，与子同袍
921,啊 这
922,吉林人震怒！
923,是知道还是看到，感受到
924,有被内涵到
925,理想可以成功！
926,感谢，三连了
927,这里超绝，很有隐喻
928,儿子说的也没错，但很无奈
929,别骂了别骂了
930,姨妈人很好，推荐大家看原片
931,第一任妻子并不叫高晓岚
932,立足现在，展望未来。
933,犀利哥hhhh懂的都懂
934,哈哈哈哈哈造
935,名场面
936,一语成谶
937,我的延年乔年啊
938,一开始叫青年杂志，后加改名新青年
939,为中华崛起而读书
940,胡适怎么了就，我也知道胡适黑历史，可你又怎么知道他不是真的为中国做贡献
941,老太极师傅了
942,曹操字孟德
943,娶妻当娶于凤至
944,星星之火，可以燎原
945,大帽子………
946,帅啊，丰神俊逸
947,胡适....不太配
948,好家伙
949,文案牛逼
950,阿译长官
951,懂摄影
952,一语成谶
953,你真的秀
954,此刻的他
955,团支书dna动了
956,惭愧！！！
957,帅哥你谁？
958,一语中的
959,刘皇叔
960,悄悄我的
961,那多写几张呗
962,党的初代
963,好想派个政治老师给他们，能少走多少弯路啊
964,为什么才开头我就哭了
965,马上去补
966,受教！
967,毛语言未来小鲜肉…厉害！！！
968,帅啊男神胡适
969,真的秀
970,刘皇叔仁义
971,为中华崛起而读书
972,原剧早早都看完了真的很强
973,这个镜头 太好哭了
974,我顶你个肺
975,陈独秀是皇叔于和伟
976,bgm好评
977,这剧刷新了我多年来认知的“神还原”
978,无耻
979,陈氏兄弟和赵世炎我从法兰西岁月哭到觉醒年代，至今不敢看完(┯_┯)
980,周树人真的是绝了
981,其实现代人也应该这样，开拓新思想
982,体育之研究
983,像极了现在1
984,高情商
985,长大后你就成了他，愿意为理想奋斗牺牲
986,震旦，就是“中国”的意思
987,真的 怀抱信念
988,看到了青年的力量
989,失策失策！！！
990,卧槽！
991,说得好！
992,在看龙门石窟造像下的碑刻文字，历代被贬为穷乡儿女之书，然而在这出现十分妥帖
993,当时看就觉得奇怪
994,老板大气
995,清华美院画的图
996,健壮的，而非体弱的
997,从初中就让做
998,前来打卡2021高考作文出题源头！
999,多好啊
1000,私者一时，公者千古
1001,这紧凑的剧情，舞台剧
1002,押中高考作文题了
1003,讹人呐
1004,易白沙，意难平
1005,吾辈当自强
1006,包月笑死了哈哈
1007,精准押题
1008,up，你神了
1009,帅哥你谁？？？？
1010,永远怀念二年兄弟！
1011,这段演的真的生动，看完我就决定追完了
1012,up主说的很好
1013,不用十年，中国历史就已经开天辟地了
1014,你告诉我这不是鲁迅？
1015,别骂了别骂了
1016,他不知道这位钢铁大王，是一个压榨工人的资本家
1017,这个真的好！！！！！好高兴木鱼终于讲了！
1018,别骂了，都哭了
1019,多才多艺啊
1020,小姨子？？
1021,全体注意
1022,是我直接跳出来碾死了
1023,哭了
1024,真的看哭了
1025,前面的，初中生朋友也熟悉
1026,天将降大任于斯人也
1027,天下何人不识君
1028,刘皇叔
1029,+2
1030,原来如此
1031,一个真真正正全心全意为人民服务的伟人
1032,配乐太绝了
1033,啊啊啊啊我最爱的周爷爷
1034,学到了
1035,胡适本来就是个精致的利己主义者 大可不必给他戴高帽
1036,别骂了别骂了
1037,迟早上路灯的
1038,卧槽
1039,比起毛。。我更尊敬周
1040,康有为就是
1041,南昌人震怒
1042,有国才有家
1043,我说一句，这部剧的配乐和舌尖是同一个，阿鲲，永远滴神
1044,你不要再说了
1045,我也想看、但是没钱
1046,超级好看啊
1047,牛马
1048,俺也一样
1049,他也是一种不破不立的想法吧 有点意气用事的表述
1050,惭愧
1051,现在平均一幅在500万左右.
1052,狂啊
1053,子美是杜甫的字
1054,还有点赞
1055,啊啊啊啊周爷爷好！
1056,守常先生！
1057,DNA震动了！
1058,一语成谶
1059,延年乔年啊呜呜呜
1060,全体起立
1061,那个年代没有人是容易的
1062,名场面
1063,现在可不只两百咯
1064,靠？！！
1065,花生的戏份好多
1066,安徽的骄傲！
1067,别骂了别骂了
1068,辛苦啦，木鱼
1069,选角简直完美！！！不仅形似，更是神似，每个演员身上的文化底蕴赋予了每个角色的重量
1070,确实，真的很不错
1071,云的上面，是太阳
1072,高君曼女士
1073,招核男儿
1074,这个出场太帅了
1075,一下子就知道是儿子啦哈哈哈哈哈哈哈知子莫若父
1076,企业家
1077,别骂了别骂了
1078,惭愧
1079,前面越可爱，后面越好哭
1080,桃园结义
1081,一语成谶
1082,这一幕无敌啊
1083,完全一致
1084,俺也一样
1085,全体再次起立
1086,好秀
1087,这是鲁肃吗
1088,五十万冲冲冲
1089,what
1090,好耶！
1091,大胆
1092,啊啊啊啊真是好剧我强烈安利
1093,唉。刚刚浪费了食物
1094,我的心好痛啊
1095,呸！想得美！
1096,哈哈哈哈哈 怕了
1097,我的妈泪目
1098,安庆人表示没听说过哈哈哈
1099,哇天
1100,时代造就英雄
1101,仲甫先生
1102,工具人
1103,君子和而不同
1104,DNA动了
1105,别骂了别骂了
1106,初中生狂喜
1107,勇士终成龙
1108,兄友弟恭
1109,我是唯一的光
1110,皇叔
1111,哈哈哈哈哈 办月卡
1112,通透啊
1113,今年作文！
1114,确实
1115,李易峰 无廉耻啊
1116,火箭头锤
1117,救国先救思想，致敬
1118,还原历史，好评
1119,孝死我了
1120,男神！！！！！！！！
1121,连用的好
1122,哈哈哈哈哈哈v
1123,哈哈哈哈
1124,在这嘲笑历史人物也是有本事
1125,他来了他来了
1126,帅哥你谁
1127,主要还是思想
1128,打自己人重拳出击
1129,全体起立！！！
1130,一语成籤啊
1131,hp DNA动了
1132,这简直是太像了啊
1133,新青年
1134,新青年！
1135,好家伙
1136,杀疯了
1137,最经典镜头，没有之一
1138,注意这个花生
1139,可熟了哈哈哈
1140,2021年了还有，上海北京那两辆公交车上的老逼登
1141,动机不同
1142,好家伙
1143,陈独秀第三任妻子忠贞不渝，也拥有很悲惨的过往，陪伴了独秀晚年。可以说三个女人陪伴了陈独秀不一样的时期
1144,和尚能文能武
1145,一语成谶
1146,核心就是打到孔家庙救出孔夫子
1147,讲得好，讲得太好了！！！
1148,全体起立！致敬！
1149,大鸾你来了
1150,迅哥演员本人是不像的！扮相和演技太像了！
1151,拍的时候乔年演员才14岁
1152,卧槽
1153,DNA动了
1154,俺也一样
1155,再次起立！
1156,致敬
1157,我已经热泪盈眶了
1158,弹幕大家都好会写
1159,啊天呐
1160,太阳照常升起
1161,人民万岁
1162,赔
1163,格局真大
1164,变化好大
1165,新青年！
1166,初中生也很熟悉
1167,细节啊
1168,两位英雄!!
1169,一语成谶
1170,哈哈哈哈哈哈哈
1171,少年英雄
1172,虽千人，吾往矣！
1173,我还有卡内基的书
1174,哈哈哈哈
1175,财力哈哈哈
1176,延年乔年啊 想哭
1177,稳赚不赔
1178,俺也一样
1179,真的牛哔
1180,太对味了吧!
1181,陈海，不搞反贪了？
1182,牛啊
1183,靓仔
1184,天下谁人不识君
1185,怎么不能说不能播，这就是当年的道路
1186,欺我同胞
1187,鲁迅超级绝
1188,四胎了嗷
1189,哎哟哎哟哎哟哟哟
1190,一语成谶
1191,一语成谶
1192,既得利益者本人
1193,啊哈哈哈牛哇
1194,惟楚有材啊
1195,简直了
1196,这可是个狼人啊，手段很恶劣的
1197,我永远的偶像！！！
1198,潮州震怒
1199,我也来看了 木鱼辛苦了！
1200,梦开始的地方
1201,内个时候选择什么路 真的太难了 
1202,突然想到我们现在是百年未有之大变局
1203,好助攻
1204,胡适人品不行，但是间接害死陈延年这段历史有争议的不一定是事实
1205,天亮了就好了。
1206,真 天选之人
1207,高考题
1208,你骂人
1209,忠孝不能两全
1210,这话一出来，想哭
1211,为什么不可以提，我知道你看了很多胡适黑历史 那你为什么就不能多想想呢？
1212,198...198....洋哥赞过，三连
1213,别骂了别骂了
1214,已识乾坤大，犹怜草木青”
1215,为中华之崛起而读书
1216,包月服务
1217,礼义廉
1218,那我走?
1219,会员年卡，不能退的那种
1220,哈哈哈哈
1221,起来了 起来了
1222,正常
1223,因为现在的人都没这概念
1224,处处是考点啊
1225,长子和二子太悲壮了
1226,别骂了呜呜呜
1227,天，这不是血色湘西的男主吗？
1228,摄影师牛逼
1229,这些镜头拍的太好了
1230,全体起立
1231,神他嘛卡内鸡
1232,就就是格局吗
1233,预言家刀了
1234,超级大佬
1235,全体起立!
1236,全体起立！
1237,全体起立！
1238,道歉！！！
1239,镜头语言太美了 凄美感但又有朝气
1240,说的对
1241,光看影评就想哭了
1242,好家伙
1243,你跟我说这不是鲁迅！
1244,都说了当时是积重难返了，和现在能一样？脑子呢
1245,不知道是真难
1246,这时候我还以为弟弟要拉稀呢
1247,大胆哈哈
1248,缅怀先辈
1249,保护
1250,没关系早睡大街了还没关系
1251,感恩先辈
1252,一口气看完
1253,啊啊啊啊啊啊啊啊啊啊啊厉害了
1254,破防了！
1255,少用秽土转生来骗我
1256,桃园结义
1257,今年高考
1258,安庆的没听过0.0
1259,天下谁人不识君
1260,呜呜呜一直哭
1261,DNA动了
1262,易白沙先生也是壮士！
1263,up主说的很妙，第一个站出来批判儒学糟粕的人，而不是全面否认
1264,天降锰男与中国，
1265,这三个日后好像也没有讨要
1266,说的好！
1267,皇叔舞一个
1268,有理想青年人
1269,今天高考考了！
1270,今朝秣马坚如铁，明日功成朝天阙
1271,还好不是我
1272,一语成谶
1273,这里有一段陈先生和夫人亲吻的戏，很美，但是某种原因被删掉了
1274,延年太刚了
1275,高考作文来啦
1276,好家伙
1277,喔豁
1278,你再骂！
1279,乔年小可爱
1280,爱国就是爱自己的人民
1281,鲁智深?
1282,身不由己
1283,我靠
1284,延年把乔年教的真的很好
1285,高考作文
1286,那确实
1287,高考语文作文呐
1288,天啊直接泪目
1289,这个镜头真好
1290,延年乔年！！！
1291,2021年广东高考作文题
1292,新青年
1293,今年高考！！！
1294,好温柔啊
1295,草啊！
1296,一语成谶
1297,哈哈好可爱
1298,现在的社会需要一场新的新文化运动！
1299,笑死了b站自动续费
1300,安徽？！老乡啊！敬礼！
1301,后怕hhh
1302,老鲁迅了
1303,我的延年
1304,裤腰带断了，一是反映衣服破旧，兄弟二人劳累辛苦；二是两人食不果腹，肚子饿得裤腰带都松了
1305,延年真的好帅啊
1306,battle
1307,上海理工大学来了
1308,2333333
1309,我泱泱大国？？？？？
1310,一语成谶
1311,张疯子
1312,无声胜有声
1313,普通话太标准了，没那味
1314,国贼！
1315,天降猛男
1316,他来了，他来了
1317,新青年
1318,初中生也很熟悉
1319,QQ会员
1320,自新大陆
1321,200大洋的月卡，不错，买它
1322,延年乔年！
1323,？？？？？？？？？？？
1324,新青年！
1325,全体起立
1326,秣马厉兵是什么意思
1327,本质上不过是既得利益者与不满利益分配者的斗争
1328,23333
1329,别拆了。留下来。
1330,看哭了 真的
1331,高中生狂喜
1332,海的那边，是敌人
1333,47W了
1334,这是皇叔？
1335,别骂了别骂了
1336,郭奉孝在，不使孤至此。
1337,自动包月
1338,帅哥你谁
1339,哭了
1340,痛心
1341,讲的太好了
1342,666啊
1343,这一段在看电视剧的时候看得我心难受我我我
1344,致敬
1345,？？？？？？
1346,好可爱乔年
1347,呜呜呜呜我太好哭了
1348,鲁迅yyds 绍兴人的骄傲
1349,李鸿章先生好乖
1350,强烈推荐啊
1351,天降猛人
1352,乔年太可爱了
1353,先生辛苦了！
1354,天
1355,外争国权，内惩国贼
1356,接着奏乐
1357,哭了
1358,到现在都民智未开
1359,看见这里爱了爱了
1360,在2021年的中国说思想启蒙不怕被封贴删号吗
1361,全体起立！
1362,别骂了别骂了
1363,枪杆子
1364,那是的
1365,陈海局长
1366,呜呜呜延年乔年！
1367,没问题
1368,瞧不起谁？三连走起！
1369,忠？忠于谁？
1370,哭死我了
1371,确实
1372,格局大了
1373,怀宁人冒泡
1374,这个时候风花雪月得有多冷血
1375,啊啊啊啊啊好可爱
1376,看哭了
1377,天降猛男
1378,连续包月
1379,善心可救蝼蚁，不可救豺狼
1380,生命很美
1381,全体起立！
1382,渣男胡适
1383,俺也一样
1384,还有这种好事？
1385,哇，原来如此
1386,我可以吹爆觉醒年代
1387,就是未开
1388,国人如溺水蚂蚁
1389,为中华之崛起而读书
1390,陈先生！！
1391,yue
1392,文科生DNA动了
1393,这是演刘备的吧
1394,全体起立！！！
1395,啊这
1396,哎
1397,一味的贬低胡适只能说明你历史价值观太非黑即白，而且这个评价一定是从别人嘴巴里听来的
1398,自动续费
1399,买季卡2333
1400,医学科普花生
1401,高中生也…
1402,看得见
1403,哇 瞬间
1404,别骂了别骂了
1405,说的好太爽啦
1406,看哭了
1407,帅哥你谁？
1408,别骂了别骂了
1409,上理
1410,新青年
1411,High level
1412,走你！
1413,全体起立！
1414,生为蝼蚁，安有
1415,体育之效
1416,看得见 
1417,史诗级别！
1418,造化钟神秀
1419,我靠，CMU
1420,新青年
1421,致敬！
1422,俺也一样
1423,我们就是新人
1424,我觉得姨妈真的好好。。。
1425,格局
1426,别骂了别骂了
1427,hso
1428,皇叔
1429,豹王 冰冰
1430,新青年
1431,俺也一样
1432,谁赢他们帮谁
1433,启用年轻演员好评，富有朝气
1434,扮猪吃虎
1435,哈哈哈
1436,男神
1437,他做到了
1438,人才辈出啊
1439,道歉！！！
1440,哈哈哈哈哈
1441,文化人
1442,？？？？
1443,救天下啊
1444,1
1445,安徽
1446,礼义廉，无耻
1447,哈哈哈哈哈哈哈哈哈哈或
1448,哈哈哈哈哈哈哈哈跳过
1449,全体起立
1450,就离谱
1451,？？？？？？
1452,前面磕cp的给我放尊重点
1453,全体起立
1454,别骂了别骂了
1455,皇叔
1456,天下谁人不识君
1457,爱国就是热爱全体人民，弹幕里拱火的张丰载可真多啊
1458,你爸爸为了中国的伟大事业不畏生死
1459,新青年
1460,一语成谶
1461,帅哥你谁
1462,嘿嘿嘿好可爱
1463,11
1464,帅的很到位
1465,没办法
1466,别骂了别骂了
1467,陈家满门忠烈
1468,喜欢鲁迅
1469,我的男神！！！
1470,他来了！！！！
1471,高考前只看了片段。
1472,哈哈，犀利哥还是那么红
1473,太熟悉了
1474,你看到哪里了
1475,升华了
1476,别骂了别骂了
1477,礼义廉，无耻；智体美，缺德
1478,皇叔
1479,皇叔是你吗？
1480,刘皇叔
1481,南开大学 梦的学院
1482,鲁迅yyds
1483,阿译
1484,鸡皮疙瘩起来了
1485,鲁迅太像了
1486,原剧在哪看？
1487,在那个年代，真棒
1488,真实的重量
1489,好！
1490,现在也是共和制啊。。。
1491,说得太好了
1492,好家伙
1493,团课
1494,陈海
1495,哈哈哈哈哈哈哈哈哈
1496,新青年
1497,好家伙
1498,俺也一样
1499,天降猛男
1500,别骂了别骂了
1501,说得好！
1502,我就不能享受享受嘛？
1503,落后就要挨打
1504,泪目
1505,帅哥 男神
1506,朝闻道
1507,杨度只能说是强国路线不同，思想并不腐朽
1508,忠孝不可两全啊
1509,40分钟……哇
1510,啊被发现了
1511,人家剧组幕后都说了是真的麻袋，几十斤，为了追求真实感，怎么还有人杠？？
1512,饭圈，饭圈，这俩是私生饭
1513,泽润东方
1514,全体起立
1515,少年英雄
1516,仲甫先生
1517,别骂了别骂了
1518,要我我也生气
1519,惭愧
1520,原来如此
1521,这女的 特种兵的那个吧
1522,天降猛男
1523,那倒确实
1524,数风流人物，还看今朝
1525,全体起立！！！！！
1526,fgnb
1527,别骂了别骂了
1528,哈哈哈哈哈哈
1529,丞相啊
1530,高考作文
1531,哥管严
1532,全体起立
1533,刘皇叔
1534,别骂了别骂了别骂了。
1535,基纽
1536,好!
1537,让人民都看得懂
1538,延年乔年555
1539,什么叫惊喜
1540,哈哈哈哈哈哈都认识
1541,草
1542,周周都刷
1543,多损啊==
1544,安庆有这菜？
1545,陈先生后来是天真，他不恨吗？他两个儿子刚刚被害了！
1546,预言家刀了
1547,41LE
1548,这怎么就
1549,俺也一样
1550,全体起立！！！！
1551,看得见
1552,为啥你要点赞
1553,现在一大半都是张丰载吧，
1554,？有被内涵到
1555,全体起立!
1556,格局和见识小了
1557,好喜欢小乔年，好像有个这样可爱的大儿子
1558,乔年好可爱
1559,隐晦
1560,吹爆这部剧
1561,别骂了
1562,南开！南开！！
1563,老预言家了
1564,奔波一辈子就不能享受享受？！
1565,万古碑，似你
1566,永不屈服
1567,年费舰长。。
1568,正在做小笔记
1569,自动续费功能上线啦
1570,说的好！
1571,这是真抗
1572,细致
1573,他来了他来了
1574,我giao
1575,真成了考点了
1576,连续包月
1577,致敬先辈！
1578,鲁迅的出场为后面的狂人日记埋下了伏笔
1579,鲜明的对比
1580,40.8了！
1581,歆璐ttl
1582,看一遍不行看十遍
1583,来了来了
1584,包养啊
1585,这也太像了
1586,光荣与梦想
1587,全体起立！！！！！
1588,这部剧，很棒！
1589,别骂了~~
1590,为中华之崛起而读书
1591,今天基金3599
1592,两兄弟！
1593,？？？？
1594,红红火火恍恍惚惚
1595,出题了出题了!
1596,？？？？？？？？？
1597,我也喜欢迅哥儿
1598,太难过了真的
1599,和尚活了！
1600,别骂了别骂了
1601,啊被骂了
1602,看得见
1603,延年把q
1604,真的是高考考点
1605,高考作文yyds
1606,俺也一样
1607,呱！
1608,全体起立！！
1609,高考题目出来前来观看
1610,戴尔卡耐基
1611,呸！想得美
1612,道歉！！！！
1613,想揍他恰恰说明演员演的好哈哈哈哈哈哈
1614,格局啊
1615,帅哥你谁
1616,好辛苦啊
1617,？？。
1618,全体起立
1619,新青年的标准：一、自主的，而非奴隶的；二、进步的，而非保守的；三、进取的，而非退隐的；四、世界的，而非锁国的；五、实利的，而非虚文的；六、科学的，而非想象的；七、健壮的，而非体弱的。​
1620,这里说的陈独秀的父和母是嗣父嗣母，陈后来一辈子也没承认过这个父亲
1621,哥哥is watching you
1622,也不是格局小，年龄阅历还没到
1623,我在干嘛，我在寻找路啊
1624,其实这里也是在缓解气氛吧，内心还是难受的
1625,杜甫：感谢老铁的蝈蝈
1626,白话文就是让原来属于知识分子的思想辩论变为人人都可参与的工具
1627,这部剧最好的一点就是，镜头语言牛批
1628,“外面黑漆马虎的，什么也看不见”
1629,心有中华黎民众，不忍蝼蚁命丧泉
1630,没bug啊，这是去中国的船，船员和船上的人会中日双语好
1631,书生从雨中走过，看到世间对立的浮华与苦难
1632,他自风雨中来，阅尽苍生疾苦；他脚踏污浊，要将清风带给人民
1633,本来就是一个探索的过程，没有人有上帝视角。
1634,++
1635,+
1636,铁牛顶
1637,天降猛男
1638,哈哈哈
1639,那个时代的先辈们哪个不是满门忠烈
1640,哭？
1641,全体起立
1642,毫无意义的刚 只能说你过于鲁莽 而不是勇敢反而会走向极端
1643,冰冰
1644,本来就是一个探索的过程，没有人有上帝视角哦~~~
1645,杰哥？
1646,全体起立！！！
1647,斯诺在那里干服务员
1648,别骂了
1649,请收下我的膝盖
1650,张疯崽
1651,全体起立
1652,俺也一样
1653,全体起立
1654,为中华之崛起而读书
1655,XSWL
1656,借荆州
1657,礼仪廉
1658,newtype
1659,和尚
1660,现在还有震旦大学
1661,他来了！
1662,的确如此
1663,为什么弹幕还能被人物挡住
1664,弹幕
1665,必须三连
1666,哈哈哈哈哈
1667,致敬
1668,卖拐
1669,太好了
1670,说的太好了
1671,再次起立
1672,坦诚
1673,想看王冠
1674,哈哈哈哈哈哈哈
1675,好像啊
1676,讲的好啊
1677,和尚牛的
1678,不知道
1679,作家按字给酬劳的
1680,南陈北李
1681,好耶！！！
1682,刘皇叔
1683,订阅
1684,新青年
1685,全体起立
1686,别骂了
1687,致敬
1688,守常
1689,我的延年乔年啊
1690,天选之子
1691,男神！！！！！！！
1692,哈哈哈哈
1693,现在的牌坊精真的烦
1694,真的是挺像
1695, 全体起立
1696,中国有一条路交叫乔延路
1697,钞能力
1698,全体起立！
1699,全体起立
1700,俺也一样
1701,我全知道。
1702,这是周乙？
1703,看得见
1704,白话文
1705,哎
1706,别吃花生  接着奏乐接着舞
1707,3000年，那得算到战国初期
1708,看得见
1709,真的泪目！
1710,致敬！
1711,天降猛男
1712,又天降伟人了！
1713,怀宁人报道，独秀小学，独秀初中！！
1714,想屁吃！
1715,保护
1716,乱世出英雄是真的
1717,别骂了
1718,我悟了
1719,他来了！
1720,说得好像是俺
1721,牺牲的太早了
1722,躬匠精神
1723,我在找
1724,全体起立
1725,大秦帝国里头 嬴渠梁对于变革也跟商鞅讨论过类似的问题
1726,我觉得这段不好
1727,南昌受不了
1728,绝了！！！
1729,岂曰无衣
1730,多骂点
1731,泪目
1732,生于蝼蚁当有鸿鹄之志
1733,犀利哥哈哈
1734,哈哈哈哈
1735,来了来了
1736,燃起了
1737,这不是皇叔嘛
1738,？？？？
1739,新青年
1740,天赐之人
1741,冰冰
1742,好活儿
1743,潮汕人震怒
1744,别骂了
1745,别骂了
1746,45w了
1747,泪目
1748,双厨狂喜
1749,前人铺路
1750,确实
1751,别骂了
1752,牛逼
1753,真.男神！
1754,震旦是太阳无边土地辽阔带有赞美意思，是源于古印度人称呼古中国的用词
1755,天降猛男
1756,傲娇怪
1757,秀
1758,？？？？
1759,致敬
1760,别骂啦别骂啦
1761,乔年
1762,去法国 能有个好
1763,你有币了
1764,全体起立！
1765,天降猛男
1766,尼玛
1767,黑鹰
1768,郭奉孝
1769,我要哭了。
1770,自古忠孝两难全，国已危在旦夕，舍家也是不得已，国若太平，谁会舍得
1771,哈哈哈
1772,认识
1773,敬礼！
1774,前面的，舌尖上的中国的配乐也是他做的
1775,齐达内？
1776,想屁吃
1777,来了来了
1778,不要讲脏话哦
1779,热情总比麻木好
1780,CMUer！！！
1781,看得见
1782,别骂了
1783,???想的挺美
1784,刘皇叔
1785,游泳健身
1786,一语成谶
1787,那个男人他来了！
1788,伟人也是人
1789,？？？
1790,全体起立！
1791,别骂了
1792,注意注意这里是伏笔！！
1793,现在卖更值钱
1794,我不知道，我啥也不知道doge
1795,不要拿现在的道德标准评判那个时代的人好吧
1796,他来了！
1797,全体起立！
1798,刘皇叔
1799,别骂了别骂了
1800,别骂了
1801,wk自由了
1802,怕了
1803,稳定收入
1804,别骂了别骂了
1805,水太凉
1806,哈哈哈哈哈
1807,鲁子哥来了
1808,我的延年啊
1809,新青年
1810,年轻演员
1811,鲁迅yyds
1812,胡适没回国之前很刚，回国之后就开始越来越怂了
1813,天神降临！！！
1814,全体起立
1815,看得远啊
1816,23333333
1817,后面哭死
1818,和尚！
1819,这不阿译吗？
1820,新青年
1821,男神
1822,这部剧配乐是阿鲲，用了很多华胥引的音乐，当然华胥引的音乐也是他作曲
1823,好漂亮
1824,说的好
1825,全体起立
1826,新青年
1827,泪目
1828,tyfty
1829,阿译长官
1830,男神啊啊啊啊啊啊啊
1831,头号猛男
1832,DNA动了
1833,泪目
1834,我币没了
1835,哈哈哈哈哈哈哈哈哈哈哈哈哈
1836,考题get
1837,真实
1838,会做生意
1839,死光头鬼
1840,八嘎
1841,部分部分，弹幕真片面
1842,好可爱
1843,四十二万了
1844,？？？？
1845,别骂了
1846,易英雄，晚安
1847,别骂了
1848,说的好！
1849,托？？
1850,包月不打折？
1851,全体起立
1852,太精彩了
1853,难道不是？
1854,男神男神
1855,Ohhhhhhhhhhhhhhhh!!
1856,所有的问题都要有答案吗？一定要给陈独秀找一个各方面无懈可击的理由吗？无关对错
1857,书生造反
1858,别骂了
1859,慈善？福报也是慈善，不要被资本家欺骗！
1860,俺也一样
1861,哈哈哈哈
1862,全体起立！！！！
1863,别骂了
1864,我的延年乔年啊
1865,和尚牛逼！！！
1866,第一次投币
1867,好可爱啊
1868,别骂了
1869,曹孟德
1870,新青年
1871,一生！！！
1872,救命
1873,泪目
1874,天降猛男
1875,？？？
1876,是的！！
1877,学到了
1878,再次起立
1879,思想
1880,全体起立！
1881,这个怎么下载啊
1882,上海理工大学报道
1883,终于被吐口水了
1884,别尬黑，两只蝴蝶也是代表作了doge
1885,看得见！
1886,全体起立
1887,安庆人报道
1888,别骂了别骂了
1889,想亡我中华，绝无可能！我中华民族从来不缺英勇抗争的人
1890,哈哈哈
1891,道歉？这个我在行。
1892,哇鸡皮疙瘩
1893,一想起郭心刚，就很难受，真的难受，想起他死去的画面，眼泪就止不住
1894,高晓兰的图片错了
1895,是真的好看
1896,别拿现代的目光去看待过去吧。
1897,别骂了别骂了
1898,意林读者
1899,全体起立
1900,哈哈哈
1901,up主太棒啦！！
1902,全体起立
1903,’、
1904,别骂了
1905,哈哈哈哈哈哈
1906,真的很好看
1907,他来了！
1908,起飞
1909,不敢评价
1910,周树人yyds
1911,延年乔年！
1912,这个国耻日设定得好
1913,牛
1914,看剧的时候真的好想扇张丰载...
1915,好爱这部剧
1916,太好看了，看完来评
1917,自古忠孝难两全
1918,万师傅
1919,男神！
1920,敏感
1921,秀哥儿
1922,哈哈哈哈
1923,青年杂志
1924,泪目了
1925,谢谢
1926,太太太太好看了
1927,？？？？？？？
1928,2021高考时代前来观看
1929,你再骂
1930,我想他啊，我等他回来
1931,我们都想他
1932,人民万岁
1933,杀疯了
1934,十里长街
1935,致敬英雄
1936,真就是2021年高考考点
1937,2021高考作文出了时候来的
1938,呐喊
1939,看啥呢？改造的就是你
1940,秀哥
1941,立三路线...
1942,过分了
1943,全体起立！
1944,不能说是非常相像，只能说一毛一样
1945,舍小家为大家
1946,帅拉了
1947,对不起
1948,致敬
1949,想得美
1950,厉害啊
1951,这
1952,出轨是假的？
1953,插标卖首啊
1954,看得见
1955,哭
1956,泪目
1957,抱歉 我看成一群人在发 我DAN（蛋）动了
1958,还有托
1959,张疯崽
1960,对！！！
1961,妙啊
1962,骂的好，？我们改
1963,这蚂蚁演技比小鲜肉强
1964,迅哥yyds
1965,阜阳人表示没吃过
1966,男神我爱你
1967,先投再看
1968,绝了
1969,新青年
1970,无语
1971,油头粉面，人模狗样
1972,小姨子最好
1973,冯组长
1974,全体起立
1975,发现原来新青年下面是法语！
1976,胡适其实一言难尽....
1977,呵呵
1978,我们都没有立场站在未来批判过去，无论是人还是事
1979,工业
1980,呜呜呜呜呜呜这两兄弟真的太伟大了
1981,全体起立
1982,插标卖首，待价而沽
1983,五千年第一人来了
1984,看得见
1985,鲁迅中学毕业的绍兴人 家住鲁迅故里
1986,别骂了 别骂了
1987,全体起立
1988,fgnb
1989,和尚！
1990,这电视剧这么真实的吗，好评了
1991,这种剧就应该多拍几部
1992,闭嘴ssz
1993,闭嘴ssz
1994,新青年
1995,守常先生 ，94年了
1996,是啊
1997,孩子想的没错，陈独秀也没错，错的是时代啊
1998,哎
1999,看泪目了
2000,中国即是变局
2001,恕我直言，这是我追的第一部剧！！
2002,超前播放…
2003,哈哈哈哈哈哈
2004,哎 还是有误会 不应该
2005,山川异域 不共戴天
2006,太有质感了
2007,一复制发达了现在估计能卖几亿
2008,全体起立
2009,现在人生攻击
2010,真损
2011,师爷
2012,全体起立！
2013,hhhhhhh
2014,秀
2015,有一说一 确实
2016,包月
2017,包月会员
2018,新青年
2019,都是男神
2020,@曼联
2021,全体起立
2022,前方高能
2023,帅哥！！！！！
2024,骂得好骂得对！
2025,啊，男神
2026,你币没了
2027,这会不拿，肯定被人拿走了。这时候这么穷
2028,全体起立
2029,还不到30岁就牺牲了哎
2030,看得见
2031,哈哈哈
2032,雷军
2033,aoe
2034,看得见
2035,致敬
2036,高能预警
2037,破而后立
2038,是的
2039,真想灭了小鬼子
2040,啊，起来了
2041,别骂了
2042,好
2043,君臣  父子 夫妻 确实是糟粕
