             word       pv  ratio             period   sim
0      《觉醒年代》在线观看    18194     58  20200719|20210627  2854
1      觉醒年代免费观看全集   472766     84  20200719|20210627  2053
2            觉醒时代   104586     74  20200719|20210627  1763
3              觉醒    58004     96  20200719|20210627  1758
4              张桐    95574     89  20200719|20210627  1751
5         觉醒年代电视剧    26790     97  20200719|20210627  1742
6         觉醒年代观后感   103410     80  20200719|20210627  1742
7             张晚意   193222     88  20200719|20210627  1687
8        觉醒年代在线观看    34644    103  20200719|20210627  1513
9             马启越    72432     77  20200719|20210627  1453
10  觉醒年代在哪个APP可以看    19174     63  20200719|20210627  1363
11            陈独秀  2147296     81  20200719|20210627  1177
12             曹磊    45258     87  20200719|20210627  1147
13            周显欣    34658     90  20200719|20210627  1143
14        觉醒年代演员表   135984     85  20200719|20210627  1134
15            马少骅    35466     83  20200719|20210627  1043
16           朱刚日尧    25848     85  20200719|20210627   988
17       觉醒年代作文素材    28872     63  20200719|20210627   971
18      觉醒年代在哪个台播    14682     59  20200719|20210627   970
19            于和伟   372782     85  20200719|20210627   954
20       觉醒年代剧情介绍    38010     83  20200719|20210627   916
21          光荣与梦想   144570     60  20200719|20210627   866
22            侯京健    43998     81  20200719|20210627   863
23            夏德俊    14418     82  20200719|20210627   813
24            王鹏凯     9934     48  20200719|20210627   806
25            李大钊  1332074     83  20200719|20210627   790
26         理想照耀中国   290366     76  20200719|20210627   788
27            陈延年   599840     74  20200719|20210627   761
28            张丰载   230522     81  20200719|20210627   664
29            张永新    11298     83  20200719|20210627   658
