             word       pv  ratio             period   sim
0   觉醒年代在哪个APP可以看    33954    130  20200719|20210606  2700
1      觉醒年代免费观看全集   259394    116  20200719|20210606  2571
2            觉醒时代    96744    101  20200719|20210606  2320
3              觉醒    43286    118  20200719|20210606  2104
4         觉醒年代观后感    66210    103  20200719|20210606  1990
5             张晚意   140942    112  20200719|20210606  1660
6              张桐    65046    101  20200719|20210606  1519
7             马启越    49040    130  20200719|20210606  1513
8         觉醒年代演员表    79718    106  20200719|20210606  1330
9             王鹏凯    17656    105  20200719|20210606  1270
10            陈独秀  1705524    113  20200719|20210606  1203
11             曹磊    33882    104  20200719|20210606  1027
12          光荣与梦想   385874    123  20200719|20210606  1003
13            陈延年   535696    109  20200719|20210606  1000
14           朱刚日尧    16512     97  20200719|20210606   975
15            周显欣    18652    103  20200719|20210606   974
16         理想照耀中国   391702     74  20200719|20210606   930
17            马少骅    29794     99  20200719|20210606   894
18            央视频   157292     97  20200719|20210606   833
19            李大钊   927242    105  20200719|20210606   811
20            于和伟   260144     79  20200719|20210606   810
21            张丰载   170040    105  20200719|20210606   748
22            张永新     9218    113  20200719|20210606   730
23            夏德俊     8290    124  20200719|20210606   658
24             胡适   657150     99  20200719|20210606   632
25            辜鸿铭   374606     99  20200719|20210606   585
26            蔡元培   422054    100  20200719|20210606   574
27            张思乐    26260     77  20200719|20210606   509
28       我们的法兰西岁月    22946     74  20200719|20210606   508
29            山海情    81350     88  20200719|20210606   496
