          word      pv  ratio             period   sim
0      觉醒年代观后感   47106     83  20200719|20210516  2525
1          张晚意   72390    159  20200719|20210516  2119
2         觉醒时代   66834    112  20200719|20210516  2097
3   觉醒年代免费观看全集   98618    107  20200719|20210516  1828
4           觉醒   35202     93  20200719|20210516  1579
5          陈独秀  964338    119  20200719|20210516  1456
6          王鹏凯   10528    110  20200719|20210516  1455
7           张桐   64632    136  20200719|20210516  1359
8         1921  425222   1038  20200719|20210516  1330
9         朱刚日尧   13064     95  20200719|20210516  1307
10         陈延年  304172    109  20200719|20210516  1280
11     觉醒年代演员表   42380    121  20200719|20210516  1272
12         周显欣   13342    107  20200719|20210516  1051
13         央视频   80130     80  20200719|20210516   996
14          曹磊   21730     83  20200719|20210516   941
15         张丰载   83782    109  20200719|20210516   869
16         李大钊  581374    109  20200719|20210516   832
17         马少骅   16554    110  20200719|20210516   800
18         张永新    6358     86  20200719|20210516   789
19      理想照耀中国  437252     78  20200719|20210516   785
20         夏德俊    4564     82  20200719|20210516   738
21         侯京健   19948    153  20200719|20210516   693
22         于和伟  327350     54  20200719|20210516   681
23          胡适  374492    108  20200719|20210516   642
24    我们的法兰西岁月   21850    123  20200719|20210516   642
25         辜鸿铭  197206    109  20200719|20210516   591
26         蔡元培  245056     98  20200719|20210516   565
27         陈乔年   83786    107  20200719|20210516   516
28         张思乐   24752     94  20200719|20210516   468
29         赵世炎   87722    109  20200719|20210516   458
