          word      pv  ratio             period   sim
0      觉醒年代观后感   56824    158  20200719|20210509  2822
1          张晚意   45486    142  20200719|20210509  2464
2         觉醒时代   59688    112  20200719|20210509  2284
3           张桐   47394    115  20200719|20210509  1682
4           觉醒   37680    150  20200719|20210509  1620
5          陈独秀  809652    144  20200719|20210509  1609
6   觉醒年代免费观看全集   92518    126  20200719|20210509  1535
7          王鹏凯    9538    133  20200719|20210509  1450
8          陈延年  279152    153  20200719|20210509  1339
9         朱刚日尧   13822    147  20200719|20210509  1290
10         周显欣   12438    112  20200719|20210509  1101
11     觉醒年代演员表   34964    144  20200719|20210509  1081
12         马少骅   15076    133  20200719|20210509  1003
13         张丰载   77170    130  20200719|20210509   931
14         李大钊  534916    105  20200719|20210509   892
15          曹磊   26312    142  20200719|20210509   858
16         央视频  100546     75  20200719|20210509   839
17         张永新    7436    122  20200719|20210509   835
18         夏德俊    5548    156  20200719|20210509   753
19          胡适  346810    140  20200719|20210509   691
20         侯京健   13012    134  20200719|20210509   656
21    我们的法兰西岁月   17700    141  20200719|20210509   648
22         辜鸿铭  181084    132  20200719|20210509   617
23         蔡元培  251050    159  20200719|20210509   588
24      理想照耀中国  559448    674  20200719|20210509   588
25         于和伟  601264    237  20200719|20210509   586
26         陈乔年   78016    130  20200719|20210509   574
27         张思乐   26414     85  20200719|20210509   525
28         赵世炎   80264    135  20200719|20210509   487
29        走向共和   34560    114  20200719|20210509   469
