          word      pv  ratio             period   sim
0         觉醒时代   53100    101  20200719|20210502  2556
1      觉醒年代观后感   35882    105  20200719|20210502  2537
2          张晚意   32076    127  20200719|20210502  2200
3   觉醒年代免费观看全集   73638    103  20200719|20210502  2088
4           觉醒   25122     94  20200719|20210502  1740
5           张桐   41348    103  20200719|20210502  1644
6          王鹏凯    7154    102  20200719|20210502  1587
7          陈独秀  563866     97  20200719|20210502  1544
8          陈延年  181964    100  20200719|20210502  1276
9      觉醒年代演员表   24288     93  20200719|20210502  1172
10        朱刚日尧    9420    100  20200719|20210502  1147
11         周显欣   11098    117  20200719|20210502  1090
12         马少骅   11296     95  20200719|20210502   986
13         张丰载   59186    113  20200719|20210502   938
14          曹磊   18586     61  20200719|20210502   855
15         张永新    6072    130  20200719|20210502   848
16         李大钊  509910    109  20200719|20210502   812
17         侯京健    9736     90  20200719|20210502   808
18         夏德俊    3546    104  20200719|20210502   775
19         于和伟  253480    147  20200719|20210502   757
20          胡适  247896     88  20200719|20210502   681
21    我们的法兰西岁月   12562     94  20200719|20210502   644
22         蔡元培  158126     93  20200719|20210502   633
23         辜鸿铭  137268     85  20200719|20210502   606
24         陈乔年   60034     92  20200719|20210502   603
25         央视频  134708    107  20200719|20210502   591
26        走向共和   30218     92  20200719|20210502   534
27         郭心刚   47198    108  20200719|20210502   511
28          年代    3580     85  20200719|20210502   489
29          杨杏    3426    124  20200719|20210502   445
